Family_Income,Scholarship,Education_Loan,Father_Occupation,Mother_Occupation,Parent_Education,Home_Location,HighSchool_Grade,Admission_Quota,Dropout,Batch
75000,Yes,No,Farmer,Farmer,HighSchool,Semi-Urban,45.7,Sports,1,2024
45000,No,Yes,Driver,Factory Worker,Diploma,Urban,41.8,SC/ST,1,2022
25000,Yes,No,Driver,Government Job,Graduate,Urban,76.5,Merit,0,2023
12000,Yes,Yes,Government Job,Government Job,HighSchool,Semi-Urban,73.7,Management,0,2023
60000,No,No,Government Job,Nurse,Postgraduate,Rural,78.1,Merit,0,2021
12000,No,No,Daily Wage Worker,Daily Wage Worker,HighSchool,Urban,92.9,Management,1,2024
12000,No,Yes,Factory Worker,Factory Worker,Graduate,Rural,98.9,NRI,1,2022
75000,Yes,Yes,Teacher,Daily Wage Worker,No Formal Education,Semi-Urban,89.5,Merit,0,2021
25000,No,No,Shopkeeper,Farmer,Graduate,Urban,41.4,NRI,0,2022
45000,No,No,Small Business,Shopkeeper,HighSchool,Urban,58.1,SC/ST,0,2024
25000,Yes,No,Government Job,Daily Wage Worker,Diploma,Urban,85.9,Merit,0,2023
35000,Yes,Yes,Teacher,Government Job,Graduate,Rural,93.2,Merit,0,2024
12000,Yes,Yes,Government Job,Teacher,Graduate,Semi-Urban,93.8,Merit,0,2021
12000,Yes,Yes,Government Job,Factory Worker,HighSchool,Urban,79.6,SC/ST,0,2022
12000,No,Yes,Farmer,Shopkeeper,Graduate,Rural,90.0,Merit,1,2022
8000,No,No,Shopkeeper,Teacher,Diploma,Urban,49.4,Merit,0,2023
60000,Yes,Yes,Engineer,Teacher,Primary School,Rural,63.2,OBC,0,2021
12000,No,Yes,Factory Worker,Daily Wage Worker,Graduate,Urban,44.9,Management,1,2023
25000,Yes,Yes,Teacher,Shopkeeper,Postgraduate,Semi-Urban,57.1,SC/ST,0,2023
45000,Yes,Yes,Doctor,Shopkeeper,Primary School,Rural,85.8,Merit,0,2021
45000,Yes,No,Government Job,Factory Worker,Graduate,Urban,51.0,Merit,0,2022
18000,Yes,Yes,Government Job,Nurse,Graduate,Urban,83.8,Sports,0,2024
18000,Yes,Yes,Engineer,Government Job,Graduate,Semi-Urban,85.3,NRI,0,2023
100000,Yes,Yes,Farmer,Teacher,Diploma,Urban,91.9,SC/ST,0,2022
35000,No,No,Doctor,Teacher,HighSchool,Semi-Urban,97.1,SC/ST,1,2024
45000,No,No,Daily Wage Worker,Nurse,HighSchool,Semi-Urban,84.1,SC/ST,1,2024
75000,No,Yes,Small Business,Daily Wage Worker,Diploma,Rural,79.9,Merit,0,2024
45000,Yes,Yes,Teacher,Homemaker,Graduate,Urban,86.2,Management,0,2024
8000,No,No,Daily Wage Worker,Factory Worker,HighSchool,Semi-Urban,51.2,OBC,1,2024
25000,No,No,Daily Wage Worker,Homemaker,Diploma,Semi-Urban,83.6,Merit,1,2021
5000,Yes,Yes,Small Business,Daily Wage Worker,Graduate,Urban,93.7,OBC,0,2021
35000,No,Yes,Factory Worker,Shopkeeper,HighSchool,Rural,66.7,SC/ST,1,2021
75000,Yes,No,Driver,Daily Wage Worker,Graduate,Urban,41.3,SC/ST,0,2021
25000,No,No,Daily Wage Worker,Nurse,Graduate,Urban,59.9,SC/ST,1,2023
18000,No,No,Small Business,Shopkeeper,Graduate,Rural,45.7,Sports,1,2021
3000,No,No,Daily Wage Worker,Homemaker,Diploma,Urban,77.0,SC/ST,1,2023
75000,No,No,Daily Wage Worker,Government Job,HighSchool,Urban,89.3,Merit,0,2022
5000,Yes,No,Shopkeeper,Farmer,Diploma,Semi-Urban,45.4,Merit,0,2022
5000,Yes,Yes,Engineer,Government Job,Graduate,Rural,65.2,Merit,0,2022
12000,Yes,No,Factory Worker,Nurse,Graduate,Rural,79.7,Merit,0,2023
5000,Yes,No,Teacher,Shopkeeper,Graduate,Rural,93.5,Merit,0,2024
18000,Yes,Yes,Engineer,Government Job,HighSchool,Rural,53.0,Management,1,2024
25000,Yes,No,Factory Worker,Shopkeeper,Graduate,Semi-Urban,71.2,Management,0,2024
12000,No,Yes,Small Business,Government Job,HighSchool,Semi-Urban,41.0,Merit,1,2022
5000,No,No,Engineer,Homemaker,HighSchool,Semi-Urban,63.0,SC/ST,1,2022
8000,Yes,Yes,Government Job,Government Job,Primary School,Semi-Urban,60.4,Management,1,2023
18000,Yes,Yes,Doctor,Government Job,Graduate,Urban,50.5,SC/ST,0,2024
5000,No,No,Small Business,Farmer,Graduate,Urban,48.5,Sports,1,2021
35000,No,Yes,Factory Worker,Nurse,Postgraduate,Urban,61.8,Merit,1,2022
8000,No,Yes,Driver,Shopkeeper,Graduate,Urban,43.6,Merit,1,2021
12000,No,No,Driver,Government Job,Postgraduate,Rural,93.5,NRI,1,2021
18000,Yes,Yes,Driver,Nurse,Diploma,Urban,96.3,SC/ST,0,2022
18000,No,No,Teacher,Factory Worker,Graduate,Urban,90.9,Merit,0,2023
3000,Yes,No,Factory Worker,Farmer,No Formal Education,Urban,40.2,Merit,1,2023
8000,Yes,Yes,Teacher,Daily Wage Worker,Graduate,Semi-Urban,60.3,Sports,0,2022
60000,No,No,Shopkeeper,Teacher,Graduate,Rural,65.8,Merit,0,2022
3000,Yes,No,Daily Wage Worker,Government Job,HighSchool,Semi-Urban,59.4,Sports,1,2024
25000,Yes,No,Farmer,Nurse,Primary School,Rural,87.2,Merit,1,2024
25000,No,Yes,Engineer,Nurse,HighSchool,Rural,79.8,Management,1,2024
12000,No,No,Teacher,Farmer,Primary School,Semi-Urban,51.5,SC/ST,1,2023
18000,Yes,No,Driver,Shopkeeper,Graduate,Urban,45.1,OBC,0,2023
45000,No,Yes,Daily Wage Worker,Farmer,Diploma,Semi-Urban,75.4,Management,1,2021
60000,No,Yes,Farmer,Homemaker,Postgraduate,Semi-Urban,89.8,Merit,0,2024
12000,No,No,Driver,Daily Wage Worker,Diploma,Semi-Urban,77.4,Merit,1,2024
12000,No,Yes,Government Job,Shopkeeper,Graduate,Rural,54.5,OBC,1,2022
12000,Yes,No,Daily Wage Worker,Shopkeeper,Graduate,Rural,72.9,OBC,0,2022
18000,No,Yes,Teacher,Factory Worker,Graduate,Urban,71.3,SC/ST,0,2021
35000,Yes,Yes,Driver,Nurse,HighSchool,Rural,86.4,SC/ST,1,2024
12000,No,No,Shopkeeper,Government Job,Diploma,Rural,65.1,Management,1,2023
12000,Yes,Yes,Driver,Shopkeeper,Primary School,Semi-Urban,82.5,Merit,1,2022
75000,No,No,Daily Wage Worker,Homemaker,Graduate,Rural,55.3,SC/ST,1,2024
5000,Yes,No,Farmer,Government Job,HighSchool,Rural,41.4,Merit,1,2021
18000,Yes,No,Driver,Homemaker,Diploma,Semi-Urban,85.4,Management,0,2023
35000,No,No,Teacher,Daily Wage Worker,Postgraduate,Urban,98.2,NRI,0,2021
8000,Yes,Yes,Small Business,Government Job,Graduate,Rural,98.2,OBC,0,2023
5000,No,No,Government Job,Homemaker,HighSchool,Semi-Urban,84.3,Sports,1,2021
8000,Yes,Yes,Driver,Daily Wage Worker,Diploma,Semi-Urban,79.4,Merit,0,2024
75000,Yes,No,Shopkeeper,Factory Worker,Graduate,Urban,62.1,Merit,0,2022
3000,No,Yes,Driver,Farmer,Postgraduate,Semi-Urban,94.6,NRI,1,2024
8000,No,Yes,Engineer,Shopkeeper,Graduate,Urban,68.4,Management,1,2021
3000,No,No,Factory Worker,Factory Worker,HighSchool,Urban,82.9,Merit,0,2023
8000,Yes,No,Daily Wage Worker,Homemaker,Postgraduate,Rural,73.5,NRI,1,2021
35000,Yes,Yes,Shopkeeper,Factory Worker,Primary School,Urban,92.9,Management,0,2024
12000,No,No,Small Business,Government Job,HighSchool,Rural,80.7,OBC,1,2021
25000,No,No,Shopkeeper,Teacher,No Formal Education,Urban,58.1,Merit,1,2022
25000,No,Yes,Daily Wage Worker,Farmer,HighSchool,Semi-Urban,94.0,OBC,1,2024
60000,Yes,Yes,Shopkeeper,Government Job,Diploma,Semi-Urban,50.4,Merit,0,2023
3000,No,Yes,Doctor,Shopkeeper,HighSchool,Semi-Urban,52.6,Merit,1,2022
60000,No,Yes,Doctor,Teacher,No Formal Education,Semi-Urban,61.2,Merit,1,2024
35000,Yes,No,Teacher,Shopkeeper,No Formal Education,Rural,61.7,Sports,1,2021
8000,No,Yes,Engineer,Daily Wage Worker,Postgraduate,Semi-Urban,88.6,Merit,0,2022
45000,Yes,No,Shopkeeper,Daily Wage Worker,Graduate,Semi-Urban,65.8,Merit,0,2024
60000,No,Yes,Farmer,Shopkeeper,Graduate,Semi-Urban,91.5,SC/ST,0,2024
12000,No,Yes,Teacher,Factory Worker,Graduate,Semi-Urban,59.6,OBC,1,2023
75000,Yes,No,Small Business,Daily Wage Worker,Graduate,Rural,62.8,OBC,0,2023
18000,No,Yes,Daily Wage Worker,Shopkeeper,Primary School,Urban,85.0,SC/ST,1,2021
35000,No,No,Teacher,Homemaker,Postgraduate,Semi-Urban,54.6,Merit,0,2022
100000,Yes,Yes,Teacher,Shopkeeper,Diploma,Semi-Urban,47.3,Management,0,2023
18000,Yes,No,Farmer,Farmer,Diploma,Urban,48.2,Merit,0,2023
45000,Yes,No,Factory Worker,Teacher,Postgraduate,Rural,53.7,Management,0,2024
12000,No,No,Shopkeeper,Farmer,HighSchool,Rural,75.4,OBC,1,2022
45000,No,Yes,Teacher,Government Job,HighSchool,Urban,42.4,Sports,1,2024
35000,No,No,Small Business,Factory Worker,Postgraduate,Urban,79.1,Merit,0,2022
12000,Yes,Yes,Daily Wage Worker,Nurse,Diploma,Rural,85.1,Management,1,2021
18000,Yes,No,Daily Wage Worker,Teacher,Diploma,Rural,84.1,Merit,1,2023
12000,No,Yes,Teacher,Teacher,Postgraduate,Semi-Urban,77.3,Merit,1,2024
5000,Yes,Yes,Small Business,Farmer,Postgraduate,Urban,65.9,Merit,0,2021
3000,No,No,Government Job,Government Job,Postgraduate,Semi-Urban,97.9,SC/ST,0,2024
12000,Yes,No,Daily Wage Worker,Government Job,HighSchool,Urban,45.3,Sports,1,2023
3000,No,Yes,Engineer,Shopkeeper,Postgraduate,Rural,84.7,Management,1,2022
8000,No,No,Farmer,Homemaker,Graduate,Semi-Urban,62.5,Sports,1,2021
45000,Yes,No,Engineer,Daily Wage Worker,Graduate,Rural,88.7,OBC,0,2021
35000,Yes,No,Doctor,Government Job,No Formal Education,Semi-Urban,77.1,OBC,0,2022
45000,No,No,Shopkeeper,Teacher,Diploma,Urban,48.2,Merit,0,2022
12000,No,Yes,Small Business,Shopkeeper,HighSchool,Rural,89.5,Merit,1,2024
60000,Yes,Yes,Government Job,Teacher,Postgraduate,Semi-Urban,44.5,Merit,0,2022
25000,No,Yes,Driver,Government Job,Graduate,Rural,87.8,SC/ST,1,2023
8000,Yes,No,Shopkeeper,Farmer,Graduate,Rural,73.5,Merit,0,2022
8000,Yes,Yes,Engineer,Farmer,HighSchool,Rural,48.9,Merit,0,2022
35000,No,Yes,Government Job,Teacher,Diploma,Semi-Urban,75.1,Sports,0,2024
8000,No,Yes,Factory Worker,Teacher,Diploma,Urban,72.7,Management,1,2022
25000,No,No,Factory Worker,Nurse,Graduate,Rural,58.7,Merit,1,2022
100000,Yes,No,Factory Worker,Factory Worker,Graduate,Rural,87.9,Management,0,2021
3000,No,Yes,Teacher,Shopkeeper,Primary School,Rural,47.4,NRI,1,2023
3000,Yes,Yes,Farmer,Homemaker,Diploma,Semi-Urban,48.2,Merit,1,2022
100000,No,No,Small Business,Shopkeeper,HighSchool,Rural,54.3,Management,0,2021
25000,Yes,No,Daily Wage Worker,Nurse,Diploma,Urban,91.1,Merit,0,2024
8000,No,No,Government Job,Factory Worker,Diploma,Urban,49.8,Merit,1,2022
60000,No,Yes,Driver,Factory Worker,No Formal Education,Semi-Urban,87.6,SC/ST,1,2024
60000,Yes,Yes,Small Business,Nurse,HighSchool,Rural,85.6,SC/ST,1,2021
25000,Yes,Yes,Factory Worker,Shopkeeper,Graduate,Semi-Urban,76.0,Management,1,2021
35000,No,Yes,Engineer,Daily Wage Worker,Diploma,Urban,67.7,SC/ST,1,2022
12000,No,Yes,Farmer,Factory Worker,No Formal Education,Semi-Urban,61.0,Merit,1,2021
5000,Yes,No,Small Business,Government Job,Graduate,Urban,52.7,Merit,1,2021
25000,No,No,Teacher,Nurse,Diploma,Urban,81.0,Merit,0,2021
12000,No,Yes,Factory Worker,Nurse,Primary School,Urban,67.2,SC/ST,1,2023
35000,No,Yes,Government Job,Homemaker,No Formal Education,Rural,56.2,SC/ST,1,2022
60000,No,No,Shopkeeper,Teacher,HighSchool,Urban,59.1,NRI,0,2021
3000,Yes,No,Daily Wage Worker,Nurse,Graduate,Rural,48.2,Merit,1,2024
25000,Yes,Yes,Doctor,Government Job,Primary School,Semi-Urban,42.6,Merit,0,2022
12000,No,Yes,Small Business,Nurse,Postgraduate,Semi-Urban,65.9,OBC,0,2023
60000,Yes,No,Driver,Shopkeeper,Diploma,Semi-Urban,97.6,Merit,0,2022
12000,No,Yes,Factory Worker,Homemaker,Graduate,Rural,95.7,OBC,1,2021
35000,Yes,No,Daily Wage Worker,Teacher,Postgraduate,Semi-Urban,48.0,Merit,1,2024
25000,No,No,Government Job,Government Job,HighSchool,Rural,72.5,Merit,0,2022
18000,No,No,Factory Worker,Government Job,Graduate,Semi-Urban,60.5,NRI,1,2024
35000,Yes,No,Doctor,Homemaker,HighSchool,Rural,78.3,Management,0,2021
45000,No,No,Engineer,Homemaker,Primary School,Semi-Urban,41.6,Merit,0,2021
25000,No,Yes,Farmer,Teacher,Graduate,Rural,72.1,Merit,1,2022
45000,No,Yes,Doctor,Farmer,No Formal Education,Rural,67.2,Merit,1,2022
100000,Yes,No,Daily Wage Worker,Factory Worker,Postgraduate,Semi-Urban,73.1,Merit,0,2022
18000,No,Yes,Government Job,Farmer,Graduate,Rural,49.0,Merit,1,2022
25000,Yes,Yes,Small Business,Factory Worker,Graduate,Semi-Urban,76.5,NRI,0,2022
3000,Yes,No,Teacher,Factory Worker,Graduate,Urban,57.5,SC/ST,0,2023
45000,Yes,No,Engineer,Nurse,Postgraduate,Urban,70.0,SC/ST,0,2021
25000,No,No,Engineer,Homemaker,No Formal Education,Semi-Urban,91.3,Merit,0,2023
18000,Yes,Yes,Driver,Teacher,Graduate,Semi-Urban,45.5,Merit,0,2021
5000,No,No,Government Job,Nurse,HighSchool,Semi-Urban,63.5,Sports,1,2023
60000,Yes,Yes,Factory Worker,Government Job,No Formal Education,Semi-Urban,72.4,OBC,1,2021
18000,Yes,Yes,Driver,Teacher,HighSchool,Rural,64.3,OBC,1,2023
35000,No,Yes,Farmer,Homemaker,HighSchool,Rural,68.3,NRI,1,2021
8000,Yes,No,Factory Worker,Teacher,HighSchool,Urban,82.5,Merit,0,2022
100000,No,No,Daily Wage Worker,Teacher,Graduate,Rural,79.5,Merit,1,2024
8000,No,No,Teacher,Farmer,Diploma,Rural,68.2,SC/ST,1,2021
8000,No,Yes,Small Business,Farmer,Postgraduate,Rural,55.2,Management,1,2023
60000,Yes,Yes,Small Business,Homemaker,Graduate,Rural,55.2,Management,0,2024
75000,Yes,Yes,Driver,Shopkeeper,Graduate,Rural,85.1,Merit,0,2023
12000,Yes,Yes,Farmer,Factory Worker,Postgraduate,Semi-Urban,66.6,SC/ST,1,2022
18000,No,No,Doctor,Government Job,Graduate,Semi-Urban,59.4,Merit,0,2022
45000,Yes,No,Factory Worker,Factory Worker,Primary School,Urban,80.4,Management,0,2022
60000,Yes,No,Driver,Homemaker,HighSchool,Urban,69.7,Management,0,2021
18000,Yes,No,Small Business,Teacher,Diploma,Urban,66.0,OBC,0,2022
25000,No,No,Government Job,Factory Worker,HighSchool,Semi-Urban,48.2,SC/ST,1,2022
45000,No,No,Doctor,Nurse,Postgraduate,Rural,93.1,Merit,0,2022
45000,Yes,Yes,Doctor,Teacher,Diploma,Urban,89.0,Management,0,2022
45000,No,No,Farmer,Factory Worker,Postgraduate,Semi-Urban,89.4,SC/ST,1,2024
25000,No,No,Doctor,Government Job,Diploma,Urban,51.1,NRI,0,2021
5000,No,No,Daily Wage Worker,Farmer,Postgraduate,Rural,69.8,Management,1,2024
75000,No,No,Teacher,Teacher,Primary School,Semi-Urban,95.9,Merit,0,2024
60000,No,No,Factory Worker,Teacher,Diploma,Rural,94.7,SC/ST,1,2024
45000,No,No,Engineer,Teacher,Postgraduate,Rural,42.3,OBC,1,2021
5000,Yes,No,Small Business,Teacher,Diploma,Semi-Urban,40.4,Merit,0,2024
8000,Yes,Yes,Small Business,Shopkeeper,Graduate,Urban,70.2,Merit,0,2023
45000,No,No,Teacher,Farmer,HighSchool,Urban,52.5,SC/ST,1,2021
3000,No,No,Engineer,Nurse,Graduate,Urban,52.4,NRI,0,2021
100000,Yes,No,Shopkeeper,Homemaker,Graduate,Urban,67.4,Merit,0,2023
18000,No,No,Shopkeeper,Shopkeeper,Graduate,Urban,42.8,Sports,0,2022
35000,Yes,No,Engineer,Government Job,Diploma,Urban,79.5,Merit,0,2023
60000,Yes,No,Small Business,Homemaker,Graduate,Urban,60.7,NRI,0,2023
18000,No,Yes,Driver,Teacher,Diploma,Rural,44.3,Merit,1,2023
12000,No,Yes,Factory Worker,Factory Worker,Graduate,Urban,90.1,Management,1,2023
35000,No,Yes,Farmer,Teacher,Graduate,Semi-Urban,70.9,Merit,1,2021
25000,Yes,No,Shopkeeper,Nurse,Primary School,Rural,94.0,Merit,0,2024
18000,No,No,Small Business,Daily Wage Worker,Graduate,Semi-Urban,40.3,Management,1,2022
35000,Yes,No,Doctor,Factory Worker,HighSchool,Urban,74.5,Management,0,2022
75000,Yes,Yes,Farmer,Farmer,No Formal Education,Urban,67.7,OBC,1,2024
18000,Yes,No,Engineer,Daily Wage Worker,Graduate,Rural,95.3,SC/ST,0,2022
8000,Yes,Yes,Teacher,Nurse,Graduate,Semi-Urban,50.4,Management,0,2023
18000,No,No,Farmer,Factory Worker,Graduate,Urban,72.2,NRI,1,2023
18000,No,No,Small Business,Factory Worker,Postgraduate,Urban,50.2,NRI,0,2023
8000,Yes,No,Factory Worker,Nurse,Diploma,Rural,90.7,Merit,1,2021
8000,No,No,Shopkeeper,Nurse,Postgraduate,Urban,59.8,Management,0,2021
35000,No,Yes,Shopkeeper,Shopkeeper,Graduate,Semi-Urban,66.6,Sports,0,2022
12000,No,No,Factory Worker,Daily Wage Worker,HighSchool,Rural,80.6,Merit,1,2023
75000,No,No,Shopkeeper,Homemaker,Graduate,Rural,56.0,SC/ST,0,2024
12000,Yes,No,Farmer,Teacher,HighSchool,Semi-Urban,47.1,OBC,1,2021
5000,No,Yes,Small Business,Teacher,Postgraduate,Semi-Urban,66.3,Sports,1,2022
45000,Yes,No,Engineer,Factory Worker,Diploma,Urban,61.7,Management,0,2023
60000,Yes,Yes,Shopkeeper,Farmer,No Formal Education,Urban,60.9,Merit,0,2023
12000,No,No,Factory Worker,Teacher,Graduate,Urban,40.5,Merit,1,2021
8000,Yes,Yes,Government Job,Government Job,Primary School,Semi-Urban,86.0,Merit,0,2021
8000,No,Yes,Daily Wage Worker,Nurse,Primary School,Rural,83.6,OBC,1,2022
25000,No,No,Teacher,Nurse,No Formal Education,Semi-Urban,81.5,Merit,1,2024
18000,No,No,Government Job,Factory Worker,Postgraduate,Semi-Urban,64.3,SC/ST,0,2021
12000,No,No,Small Business,Nurse,No Formal Education,Semi-Urban,69.2,Merit,1,2024
5000,No,No,Small Business,Nurse,Diploma,Urban,79.2,Merit,1,2024
25000,No,Yes,Small Business,Farmer,Diploma,Rural,96.4,Merit,0,2024
75000,No,No,Government Job,Factory Worker,Postgraduate,Rural,56.7,Merit,0,2021
35000,No,No,Teacher,Government Job,Postgraduate,Semi-Urban,84.1,SC/ST,0,2021
25000,Yes,Yes,Farmer,Teacher,Postgraduate,Rural,76.3,Management,1,2022
8000,No,Yes,Engineer,Factory Worker,Diploma,Rural,77.5,Merit,1,2023
12000,Yes,No,Shopkeeper,Daily Wage Worker,Diploma,Semi-Urban,45.5,SC/ST,1,2023
12000,Yes,Yes,Shopkeeper,Teacher,Graduate,Rural,85.1,Management,0,2021
45000,Yes,No,Driver,Daily Wage Worker,Primary School,Rural,64.2,Merit,0,2024
60000,Yes,Yes,Small Business,Farmer,Primary School,Urban,59.4,Merit,0,2024
75000,Yes,No,Farmer,Factory Worker,Postgraduate,Semi-Urban,65.5,Management,0,2024
100000,Yes,Yes,Driver,Government Job,No Formal Education,Rural,91.4,Management,0,2024
100000,Yes,No,Engineer,Homemaker,Diploma,Urban,78.5,NRI,0,2024
75000,Yes,No,Engineer,Daily Wage Worker,HighSchool,Rural,40.6,Merit,0,2023
5000,No,Yes,Engineer,Shopkeeper,Primary School,Rural,53.8,SC/ST,1,2021
8000,Yes,No,Farmer,Teacher,Postgraduate,Urban,81.0,NRI,0,2023
12000,Yes,No,Factory Worker,Farmer,HighSchool,Urban,91.7,Merit,0,2023
25000,No,No,Small Business,Farmer,Diploma,Rural,71.7,Merit,0,2021
5000,No,No,Small Business,Government Job,HighSchool,Semi-Urban,74.9,Merit,1,2021
60000,Yes,No,Factory Worker,Shopkeeper,Diploma,Semi-Urban,56.6,Management,0,2021
35000,Yes,No,Factory Worker,Homemaker,Graduate,Urban,48.3,Management,0,2024
25000,No,No,Driver,Daily Wage Worker,Graduate,Semi-Urban,65.8,Merit,1,2024
8000,No,Yes,Factory Worker,Teacher,Graduate,Semi-Urban,71.8,Merit,1,2021
12000,No,Yes,Daily Wage Worker,Homemaker,Diploma,Rural,73.3,Management,1,2021
8000,Yes,No,Engineer,Homemaker,Primary School,Rural,51.2,Merit,1,2023
60000,Yes,No,Engineer,Nurse,Diploma,Rural,44.5,Sports,1,2022
25000,Yes,No,Government Job,Homemaker,Postgraduate,Semi-Urban,59.8,Merit,0,2023
45000,No,No,Engineer,Daily Wage Worker,Graduate,Semi-Urban,87.4,SC/ST,0,2022
12000,No,Yes,Engineer,Nurse,Primary School,Rural,56.1,Merit,1,2023
18000,Yes,Yes,Teacher,Daily Wage Worker,Postgraduate,Rural,80.3,SC/ST,0,2022
18000,Yes,Yes,Shopkeeper,Daily Wage Worker,Graduate,Semi-Urban,55.3,Merit,0,2021
45000,No,Yes,Teacher,Nurse,Graduate,Rural,53.9,Sports,0,2022
45000,No,No,Shopkeeper,Homemaker,Graduate,Urban,52.5,Merit,0,2023
8000,No,Yes,Driver,Teacher,Postgraduate,Urban,65.3,NRI,1,2022
75000,Yes,No,Factory Worker,Shopkeeper,No Formal Education,Semi-Urban,55.9,SC/ST,0,2022
8000,Yes,Yes,Small Business,Homemaker,Diploma,Urban,61.4,SC/ST,0,2021
60000,No,No,Doctor,Nurse,Postgraduate,Semi-Urban,74.0,Merit,0,2021
5000,Yes,No,Farmer,Government Job,Diploma,Semi-Urban,89.1,SC/ST,0,2024
12000,Yes,Yes,Shopkeeper,Teacher,Graduate,Semi-Urban,85.2,SC/ST,0,2021
60000,Yes,No,Farmer,Shopkeeper,HighSchool,Rural,65.8,SC/ST,1,2024
8000,No,Yes,Small Business,Homemaker,HighSchool,Rural,57.8,SC/ST,1,2024
18000,No,Yes,Shopkeeper,Shopkeeper,Postgraduate,Semi-Urban,78.7,SC/ST,1,2021
18000,Yes,Yes,Farmer,Government Job,HighSchool,Rural,65.6,OBC,1,2023
12000,Yes,No,Doctor,Homemaker,Graduate,Urban,84.7,OBC,0,2023
35000,Yes,No,Doctor,Farmer,HighSchool,Rural,90.7,Management,0,2024
60000,Yes,Yes,Small Business,Government Job,Postgraduate,Semi-Urban,56.9,Sports,0,2022
60000,No,No,Government Job,Homemaker,HighSchool,Semi-Urban,62.7,SC/ST,0,2021
12000,No,No,Factory Worker,Teacher,Postgraduate,Rural,41.7,NRI,1,2022
25000,No,Yes,Factory Worker,Nurse,HighSchool,Rural,65.3,NRI,1,2021
12000,Yes,Yes,Doctor,Government Job,Postgraduate,Semi-Urban,65.9,Merit,0,2024
12000,No,Yes,Doctor,Government Job,HighSchool,Rural,94.1,Merit,1,2022
8000,Yes,No,Government Job,Homemaker,Postgraduate,Rural,64.0,Merit,0,2024
75000,Yes,No,Teacher,Homemaker,Graduate,Rural,65.1,Sports,0,2023
60000,Yes,Yes,Daily Wage Worker,Teacher,Primary School,Semi-Urban,59.4,NRI,1,2021
45000,Yes,No,Daily Wage Worker,Teacher,HighSchool,Urban,46.1,Management,1,2023
25000,Yes,No,Factory Worker,Nurse,Graduate,Urban,75.6,SC/ST,0,2024
25000,No,No,Farmer,Government Job,Graduate,Rural,52.5,SC/ST,1,2023
25000,Yes,Yes,Factory Worker,Daily Wage Worker,HighSchool,Urban,70.7,SC/ST,1,2021
25000,No,No,Daily Wage Worker,Nurse,HighSchool,Urban,85.4,Merit,1,2022
18000,No,No,Small Business,Factory Worker,Graduate,Semi-Urban,83.3,NRI,1,2022
8000,Yes,No,Shopkeeper,Farmer,Graduate,Urban,46.5,OBC,0,2021
8000,Yes,No,Small Business,Factory Worker,Graduate,Urban,64.8,Management,0,2021
75000,No,Yes,Shopkeeper,Government Job,Diploma,Rural,87.2,Merit,0,2023
25000,No,Yes,Small Business,Teacher,HighSchool,Semi-Urban,40.4,Merit,1,2023
75000,No,Yes,Teacher,Homemaker,Diploma,Urban,48.7,Merit,0,2023
8000,Yes,No,Teacher,Nurse,No Formal Education,Rural,64.6,SC/ST,1,2022
25000,Yes,No,Teacher,Government Job,Postgraduate,Rural,69.9,OBC,0,2021
8000,No,No,Small Business,Nurse,HighSchool,Rural,70.8,Merit,1,2021
12000,Yes,Yes,Factory Worker,Teacher,Diploma,Rural,92.6,Sports,1,2024
3000,Yes,No,Government Job,Daily Wage Worker,HighSchool,Rural,84.2,OBC,1,2022
8000,Yes,No,Driver,Nurse,HighSchool,Semi-Urban,96.1,OBC,0,2023
75000,No,No,Government Job,Government Job,Graduate,Urban,97.0,Merit,0,2022
12000,Yes,Yes,Driver,Shopkeeper,Graduate,Rural,43.0,Merit,1,2022
35000,No,Yes,Shopkeeper,Factory Worker,Graduate,Urban,45.9,SC/ST,1,2023
18000,No,No,Factory Worker,Teacher,Primary School,Urban,87.6,SC/ST,1,2023
18000,No,Yes,Engineer,Daily Wage Worker,Postgraduate,Semi-Urban,95.2,Merit,0,2023
25000,No,No,Engineer,Nurse,Postgraduate,Urban,80.3,Sports,0,2023
8000,Yes,Yes,Government Job,Shopkeeper,Postgraduate,Semi-Urban,40.6,Management,0,2023
100000,No,Yes,Government Job,Government Job,Primary School,Rural,45.6,OBC,1,2024
45000,No,Yes,Engineer,Shopkeeper,Diploma,Rural,97.0,OBC,0,2024
45000,No,Yes,Engineer,Factory Worker,Postgraduate,Semi-Urban,45.3,NRI,0,2021
18000,No,No,Factory Worker,Daily Wage Worker,Graduate,Urban,93.1,OBC,0,2021
8000,Yes,No,Driver,Farmer,Primary School,Rural,62.1,Merit,1,2024
75000,No,Yes,Driver,Shopkeeper,Postgraduate,Semi-Urban,94.9,Merit,0,2023
12000,No,Yes,Teacher,Farmer,Graduate,Urban,51.7,Merit,0,2021
5000,Yes,No,Shopkeeper,Factory Worker,Graduate,Urban,97.4,Merit,0,2023
12000,No,No,Driver,Daily Wage Worker,Diploma,Urban,70.7,Management,1,2021
45000,Yes,No,Engineer,Homemaker,Graduate,Rural,85.3,Management,0,2022
35000,Yes,No,Engineer,Homemaker,Graduate,Rural,52.4,Management,0,2021
45000,Yes,Yes,Engineer,Daily Wage Worker,Diploma,Rural,47.8,SC/ST,0,2024
45000,Yes,No,Daily Wage Worker,Teacher,Graduate,Rural,53.8,Merit,0,2021
12000,No,Yes,Government Job,Teacher,HighSchool,Urban,84.1,NRI,1,2021
75000,Yes,No,Government Job,Farmer,HighSchool,Semi-Urban,40.0,SC/ST,0,2024
